和风天气景点ID v2.1 update by 2020-03-29,,,
Location_ID, 景点名称,一级行政区划(Adm1),二级行政区划(Adm2)
10101060002A,中国民兵武器装备陈列馆,北京,北京
10101070001A,沟崖自然风景区,北京,北京
10101070002A,蟒山国家森林公园,北京,北京
10101070003A,棋盘山景区,北京,北京
10101070004A,十三陵明皇蜡像宫,北京,北京
10101070005A,居庸关长城,北京,北京
10101070006A,龙脉温泉度假村,北京,北京
10101070007A,天龙源温泉家园,北京,北京
10101070008A,温都水城,北京,北京
10101070009A,小汤山科技农业示范园,北京,北京
10101070010A,银山塔林风景区,北京,北京
10101070011A,中国航空博物馆,北京,北京
10101070012A,明十三陵,北京,北京
10101080001A,八达岭温泉度假村,北京,北京
10101080002A,八达岭野生动物世界,北京,北京
10101080003A,北京八达岭国家森林公园,北京,北京
10101080004A,北京市古崖居风景名胜区,北京,北京
10101080005A,松山森林景区,北京,北京
10101080006A,八达岭水关长城,北京,北京
10101080007A,龙庆峡风景区,北京,北京
10101080008A,延庆硅化木国家地质公园,北京,北京
10101080009A,八达岭长城,北京,北京
10101080010A,八达岭古长城景区,北京,北京
10101090001A,大观园,北京,北京
10101090002A,青龙湖公园,北京,北京
10101090003A,中国人民抗日战争纪念雕塑园,北京,北京
10101090004A,北宫森林公园,北京,北京
10101090005A,北京南宫旅游景区,北京,北京
10101090006A,戒台寺,北京,北京
10101090007A,龙潭公园,北京,北京
10101090008A,世界公园,北京,北京
10101090009A,陶然亭公园,北京,北京
10101090010A,中国人民抗日战争纪念馆,北京,北京
10101100001A,八大处公园,北京,北京
10101100002A,北京石景山游乐园,北京,北京
10101110001A,北京南海子麋鹿苑博物馆,北京,北京
10101110002A,中华文化园,北京,北京
10101110003A,北京野生动物园,北京,北京
10101120001A,韩村河旅游景村,北京,北京
10101120002A,京辉高尔夫俱乐部,北京,北京
10101120003A,上方山国家森林公园,北京,北京
10101120004A,仙栖洞,北京,北京
10101120005A,圣莲山风景区,北京,北京
10101120006A,十渡自然风景区,北京,北京
10101120007A,石花洞风景区,北京,北京
10101120008A,云居寺,北京,北京
10101120009A,周口店遗址,北京,北京
10101130001A,白龙潭风景区,北京,北京
10101130002A,清凉谷风景区,北京,北京
10101130003A,首云国家矿山公园,北京,北京
10101130004A,云峰山自然风景区,北京,北京
10101130005A,北京张裕爱斐堡国际酒庄,北京,北京
10101130006A,黑龙潭自然风景区,北京,北京
10101130007A,司马台长城游览区,北京,北京
10101130008A,桃源仙谷,北京,北京
10101130009A,张裕爱斐堡国际酒庄,北京,北京
10101140001A,黄芩仙谷,北京,北京
10101140002A,京西十八潭,北京,北京
10101140003A,妙峰山风景名胜区,北京,北京
10101140004A,潭柘寺,北京,北京
10101150001A,丫髻山景区,北京,北京
10101150002A,金海湖,北京,北京
10101150003A,京东大溶洞旅游区,北京,北京
10101150004A,京东大峡谷,北京,北京
10101150005A,京东石林峡风景区,北京,北京
10101150006A,青龙山旅游区,北京,北京
10102010001A,和平公园,上海,上海
10102010002A,鲁迅公园,上海,上海
10102010003A,上海犹太难民纪念馆,上海,上海
10102010004A,兰心戏院旧址,上海,上海
10102010005A,上海城市规划展示馆,上海,上海
10102010006A,豫园,上海,上海
10102010007A,东方明珠塔,上海,上海
10102010008A,陆家嘴中心绿地,上海,上海
10102010009A,上海自然博物馆(上海科技馆分馆),上海,上海
10102010010A,白云观,上海,上海
10102010011A,上海博物馆,上海,上海
10102010012A,m50创意园,上海,上海
10102010013A,田子坊,上海,上海
10102010014A,共青国家森林公园,上海,上海
10102010015A,大宁灵石公园,上海,上海
10102010016A,上海动物园,上海,上海
10102020001A,老外街101,上海,上海
10102020002A,锦江乐园,上海,上海
10102050001A,东方假日田园,上海,上海
10102050002A,马陆葡萄主题公园,上海,上海
10102050003A,古猗园,上海,上海
10102050004A,嘉定州桥,上海,上海
10102050005A,安亭老街,上海,上海
10102070001A,中国农民画村,上海,上海
10102070002A,金山城市沙滩,上海,上海
10102080001A,陈云故居暨青浦革命历史纪念馆,上海,上海
10102080002A,东方绿舟,上海,上海
10102080003A,上海大观园,上海,上海
10102080004A,上海太阳岛旅游度假区,上海,上海
10102080005A,朱家角古镇旅游区,上海,上海
10102090001A,方塔,上海,上海
10102090002A,佘山国家森林公园,上海,上海
10102100001A,碧海金沙,上海,上海
10102100002A,上海都市菜园,上海,上海
10102110001A,高家庄生态园,上海,上海
10102110002A,明珠湖公园,上海,上海
10102110003A,西沙湿地,上海,上海
10102110004A,东平国家森林公园,上海,上海
10102130001A,大团桃园,上海,上海
10102130002A,上海滨海森林公园,上海,上海
10102130003A,上海南汇桃花村,上海,上海
10102130004A,上海浦东射击俱乐部,上海,上海
10102130005A,书院人家,上海,上海
10102130006A,渔乐湾,上海,上海
10102130007A,上海海洋水族馆,上海,上海
10102130008A,世纪公园,上海,上海
10102130009A,上海科技馆,上海,上海
10102130010A,上海野生动物园,上海,上海
10103010001A,海河历史建筑保护展览馆,天津,天津
10103010002A,华蕴博物馆,天津,天津
10103010003A,利顺德大饭店,天津,天津
10103010004A,梁启超纪念馆,天津,天津
10103010005A,天津意大利风情旅游区,天津,天津
10103010006A,天津邮政博物馆,天津,天津
10103010007A,海河意式风情区工业园A区,天津,天津
10103010008A,天津荐福观音寺,天津,天津
10103010009A,天津音乐街,天津,天津
10103010010A,天津科学技术馆,天津,天津
10103010011A,小白楼欧式风情街,天津,天津
10103010012A,天塔湖景区,天津,天津
10103010013A,大悲禅院,天津,天津
10103010014A,天津之眼摩天轮,天津,天津
10103010015A,估衣街,天津,天津
10103010016A,天津老城博物馆,天津,天津
10103010017A,天津民俗博物馆,天津,天津
10103010018A,天津戏剧博物馆,天津,天津
10103010019A,天津水上公园,天津,天津
10103010020A,古文化街旅游区南门,天津,天津
10103010021A,天津市古文化街旅游区,天津,天津
10103040001A,东丽湖,天津,天津
10103040002A,朗钜温泉谷,天津,天津
10103040003A,世博华明馆,天津,天津
10103040004A,应大皮衣博物馆,天津,天津
10103050001A,峰山药王古寺,天津,天津
10103050002A,希乐城少儿职业探索乐园,天津,天津
10103050003A,玉佛禅寺,天津,天津
10103050004A,天津热带植物观光园,天津,天津
10103050005A,天津杨柳青博物馆,天津,天津
10103060001A,天津万源龙顺度假庄园,天津,天津
10103070001A,七里海景区,天津,天津
10103070002A,义聚永酒文化博物馆,天津,天津
10103080001A,天津滨海航母主题公园,天津,和平
10103100001A,津南国家农业科技园区,天津,天津
10103100002A,星耀五洲,天津,天津
10103100003A,奇石园,天津,天津
10103100004A,天津宝成博物苑景区,天津,天津
10103140001A,八仙山国家级自然保护区,天津,天津
10103140002A,九龙山国家森林公园,天津,天津
10103140003A,黄崖关长城,天津,天津
10103140004A,蓟县独乐寺,天津,天津
10103140005A,盘山风景名胜区,天津,天津
10104010001A,华生园金色蛋糕梦幻王国,重庆,重庆
10104010002A,南海温泉公园,重庆,重庆
10104010003A,观音桥,重庆,重庆
10104010004A,重庆科技馆,重庆,重庆
10104010005A,巴国城,重庆,重庆
10104010006A,天赐温泉,重庆,重庆
10104010007A,天醉园,重庆,重庆
10104010008A,重庆白市驿森林公园,重庆,重庆
10104010009A,贝迪颐园温泉旅游度假区,重庆,重庆
10104010010A,华岩风景区,重庆,重庆
10104010011A,重庆动物园,重庆,重庆
10104010012A,重庆海兰云天温泉度假区,重庆,重庆
10104010013A,加勒比海水世界,重庆,重庆
10104010014A,重庆南山植物园,重庆,重庆
10104010015A,重庆市南山植物园,重庆,重庆
10104010016A,海石公园,重庆,重庆
10104010017A,融汇温泉,重庆,重庆
10104010018A,张治中旧居,重庆,重庆
10104010019A,重庆冯玉祥旧居,重庆,重庆
10104010020A,重庆郭沫若旧居,重庆,重庆
10104010021A,磁器口,重庆,重庆
10104010022A,歌乐山森林公园,重庆,重庆
10104010023A,重庆歌乐山烈士陵园,重庆,重庆
10104010024A,鹅岭公园,重庆,重庆
10104010025A,金源方特科幻公园,重庆,重庆
10104010026A,中国民主党派历史陈列馆,重庆,重庆
10104010027A,重庆红岩革命纪念馆,重庆,重庆
10104010028A,重庆洪崖洞,重庆,重庆
10104010029A,重庆湖广会馆,重庆,重庆
10104010030A,重庆人民广场,重庆,重庆
10104010031A,重庆市规划展览馆,重庆,重庆
10104010032A,重庆市人民大礼堂,重庆,重庆
10104010033A,重庆中国三峡博物馆,重庆,重庆
10104020001A,卫星湖旅游区,重庆,重庆
10104020002A,茶山竹海,重庆,重庆
10104020003A,重庆野生动物世界,重庆,重庆
10104030001A,涞滩古镇,重庆,重庆
10104040001A,花山公园,重庆,重庆
10104040002A,永隆山生态公园,重庆,重庆
10104040003A,金佛山风景区,重庆,重庆
10104040004A,神龙峡景区,重庆,重庆
10104050001A,黑石山,重庆,重庆
10104050002A,聂荣臻元帅陈列馆,重庆,重庆
10104050003A,四面山国家级风景名胜区,重庆,重庆
10104060001A,龙鳞石海景区,重庆,万盛
10104060002A,黑山谷生态旅游区北门,重庆,万盛
10104060003A,重庆万盛黑山谷生态旅游区,重庆,万盛
10104070001A,巴渝民俗文化村,重庆,重庆
10104070002A,碧津公园,重庆,重庆
10104070003A,龙兴古镇,重庆,重庆
10104070004A,张关水溶洞风景旅游区,重庆,重庆
10104070005A,重庆巴渝民俗文化村中门,重庆,重庆
10104070006A,重庆市鳄鱼中心景区,重庆,重庆
10104070007A,统景风景名胜区,重庆,重庆
10104080001A,静观花木生态旅游区,重庆,重庆
10104080002A,重庆金刀峡风景区,重庆,重庆
10104080003A,缙云山国家级自然保护区,重庆,重庆
10104080004A,重庆北温泉,重庆,重庆
10104090001A,圣灯山原始森林公园,重庆,重庆
10104090002A,云篆山森林公园,重庆,重庆
10104090003A,东温泉民俗裸浴场,重庆,重庆
10104110001A,小南海旅游景区,重庆,重庆
10104130001A,青龙瀑布,重庆,重庆
10104130002A,潭獐峡,重庆,重庆
10104140001A,石夹沟,重庆,重庆
10104140002A,武陵山森林公园,重庆,重庆
10104140003A,白鹤梁水下博物馆,重庆,重庆
10104150001A,刘伯承同志纪念馆,重庆,重庆
10104170001A,龙缸国家地质公园,重庆,重庆
10104170002A,张飞庙,重庆,重庆
10104180001A,红池坝风景区,重庆,重庆
10104190001A,奉节白帝城瞿塘峡风景区,重庆,重庆
10104200001A,巫山小三峡,重庆,重庆
10104200002A,小小三峡,重庆,重庆
10104210001A,杨氏民宅,重庆,重庆
10104210002A,杨闇公同志旧居,重庆,重庆
10104210003A,杨尚昆旧居,重庆,重庆
10104230001A,双桂堂,重庆,重庆
10104250001A,黄水药用植物园,重庆,重庆
10104250002A,石柱县毕兹卡绿宫,重庆,重庆
10104250003A,大风堡,重庆,重庆
10104250004A,重庆忠县石宝寨,重庆,重庆
10104260001A,天醉园枇杷山庄,重庆,重庆
10104260002A,重庆大足石刻艺术博物馆,重庆,重庆
10104300001A,丰都鬼城名山景区,重庆,重庆
10104300002A,丰都雪玉洞景区,重庆,重庆
10104310001A,芙蓉江景区,重庆,重庆
10104310002A,天生三桥,重庆,重庆
10104310003A,仙女山国家森林公园,重庆,重庆
10104310004A,重庆武隆芙蓉洞,重庆,重庆
10104320001A,摩围山风景区,重庆,重庆
10104330001A,綦江博物馆,重庆,重庆
10104330002A,綦江农民版画院,重庆,重庆
10104340001A,龚滩古镇,重庆,重庆
10104340002A,龙潭古镇,重庆,重庆
10104340003A,桃花源,重庆,重庆
10105010101A,革命领袖视察黑龙江纪念馆,黑龙江,哈尔滨
10105010102A,哈尔滨玉泉国际狩猎场,黑龙江,哈尔滨
10105010103A,黑龙江省博物馆,黑龙江,哈尔滨
10105010104A,欧亚之窗公园,黑龙江,哈尔滨
10105010105A,索菲亚广场,黑龙江,哈尔滨
10105010106A,文庙,黑龙江,哈尔滨
10105010107A,北大荒集团北大荒现代农业园,黑龙江,哈尔滨
10105010108A,北方森林动物园,黑龙江,哈尔滨
10105010109A,哈尔滨游乐园,黑龙江,哈尔滨
10105010110A,黑龙江省科学技术馆,黑龙江,哈尔滨
10105010111A,金源文化旅游开发区,黑龙江,哈尔滨
10105010112A,龙塔,黑龙江,哈尔滨
10105010113A,圣·索菲亚教堂,黑龙江,哈尔滨
10105010114A,太阳岛风景区,黑龙江,哈尔滨
10105010501A,二龙山风景区,黑龙江,哈尔滨
10105010801A,铧子山地质公园,黑龙江,哈尔滨
10105011101A,亚布力滑雪旅游度假区,黑龙江,哈尔滨
10105011201A,龙凤山风景名胜区,黑龙江,哈尔滨
10105020101A,溪水森林公园,黑龙江,齐齐哈尔
10105020102A,龙沙公园,黑龙江,齐齐哈尔
10105020103A,明月岛,黑龙江,齐齐哈尔
10105020104A,扎龙自然保护区,黑龙江,齐齐哈尔
10105030101A,黑宝熊乐园,黑龙江,牡丹江
10105030201A,东北虎林园,黑龙江,牡丹江
10105030202A,威虎山城,黑龙江,牡丹江
10105030203A,杨子荣烈士陵园,黑龙江,牡丹江
10105030601A,火山口国家森林公园,黑龙江,牡丹江
10105030602A,紫菱湖生态园,黑龙江,牡丹江
10105030603A,镜泊湖,黑龙江,牡丹江
10105040101A,水源山公园,黑龙江,佳木斯
10105040201A,大亮子河国家森林公园,黑龙江,佳木斯
10105040601A,三江口,黑龙江,佳木斯
10105040701A,松花江碑林,黑龙江,佳木斯
10105060101A,黑河市爱辉历史陈列馆,黑龙江,黑河
10105060201A,嫩江农场现代农业观光区,黑龙江,黑河
10105060301A,胜山要塞国家森林公园,黑龙江,黑河
10105060501A,五大连池风景区,黑龙江,黑河
10105070301A,北极村旅游风景区,黑龙江,大兴安岭
10105080101A,凉水国家级保护区,黑龙江,伊春
10105080102A,上甘岭溪水国家森林公园,黑龙江,伊春
10105080103A,伊春兴安森林公园,黑龙江,伊春
10105080104A,水上公园,黑龙江,伊春
10105080105A,伊春五营国家森林公园,黑龙江,伊春
10105080401A,透龙山,黑龙江,伊春
10105080402A,映山湖,黑龙江,伊春
10105080501A,嘉荫茅兰沟国家森林公园,黑龙江,伊春
10105080502A,嘉荫恐龙国家地质公园,黑龙江,伊春
10105090101A,大庆油田乐园,黑龙江,大庆
10105090102A,黑鱼湖生态旅游度假,黑龙江,大庆
10105090103A,中国石油大庆油田公司大庆油田技术博物馆,黑龙江,大庆
10105090104A,铁人王进喜纪念馆,黑龙江,大庆
10105090201A,北国温泉,黑龙江,大庆
10105090501A,连环湖,黑龙江,大庆
10105110201A,侵华日军虎头要塞遗址博物馆,黑龙江,鸡西
10105110301A,农垦当壁镇旅游区,黑龙江,鸡西
10105110401A,麒麟山风景区,黑龙江,鸡西
10105120101A,将军石山庄,黑龙江,鹤岗
10105120301A,名山岛,黑龙江,鹤岗
10105130101A,北秀公园,黑龙江,双鸭山
10106010101A,长春动植物公园,吉林,长春
10106010102A,吉林省自然村,吉林,长春
10106010103A,长春世界雕塑公园,吉林,长春
10106010104A,长影世纪城,吉林,长春
10106010105A,莲花山滑雪场,吉林,长春
10106010106A,东北虎园,吉林,长春
10106010107A,净月潭国家森林公园,吉林,长春
10106010108A,伪满皇宫博物院,吉林,长春
10106010401A,庙香山风景区,吉林,长春
10106020101A,松花湖国家风景名胜区,吉林,吉林
10106020301A,北大壶滑雪场,吉林,吉林
10106020401A,拉法山国家森林公园,吉林,吉林
10106030201A,雁鸣湖旅游度假区,吉林,延边
10106030301A,长白山国家级自然保护区,吉林,延边
10106040301A,叶赫那拉城,吉林,四平
10106040501A,伊通县南山保雍寺,吉林,四平
10106040502A,牧情谷旅游风景区,吉林,四平
10106040503A,伊通满族博物馆,吉林,四平
10106050101A,杨靖宇烈士陵园,吉林,通化
10106050401A,大龙湾,吉林,通化
10106050501A,高句丽遗址公园,吉林,通化
10106050502A,云峰湖旅游度假区,吉林,通化
10106060401A,莫莫格国家级自然保护区,吉林,白城
10106060501A,向海国家级自然保护区,吉林,白城
10106080301A,查干湖,吉林,松原
10106090101A,白山市龙山湖景区,吉林,白山
10106090102A,长白山迷宫,吉林,白山
10106090201A,白山湖风景区,吉林,白山
10106090202A,杨靖宇将军殉国地,吉林,白山
10106090501A,望天鹅风景区,吉林,白山
10106090502A,长白果园朝鲜族民俗村,吉林,白山
10106090601A,露水河国家森林公园,吉林,白山
10106090602A,白溪漂流,吉林,白山
10107010101A,辽宁广播电视塔,辽宁,沈阳
10107010102A,七星山风景区,辽宁,沈阳
10107010103A,沈阳新乐遗址,辽宁,沈阳
10107010104A,北陵公园,辽宁,沈阳
10107010105A,福陵森林公园,辽宁,沈阳
10107010106A,辽宁省博物馆,辽宁,沈阳
10107010107A,棋盘山风景区,辽宁,沈阳
10107010108A,沈飞航空博览园,辽宁,沈阳
10107010109A,沈阳故宫,辽宁,沈阳
10107010110A,沈阳怪坡风景区,辽宁,沈阳
10107010111A,沈阳九·一八历史博物馆,辽宁,沈阳
10107010112A,沈阳科学宫,辽宁,沈阳
10107010113A,张氏帅府,辽宁,沈阳
10107010114A,沈阳市植物园,辽宁,沈阳
10107010601A,沈阳仙子湖,辽宁,沈阳
10107010602A,新民文化博览园,辽宁,沈阳
10107020101A,白玉山风景名胜区,辽宁,大连
10107020102A,大连棒棰岛宾馆景区,辽宁,大连
10107020103A,大连森林动物园,辽宁,大连
10107020104A,大连现代博物馆,辽宁,大连
10107020105A,大连自然博物馆,辽宁,大连
10107020106A,东鸡冠山景区,辽宁,大连
10107020107A,关向应纪念馆,辽宁,大连
10107020108A,旅顺日俄监狱旧址博物馆,辽宁,大连
10107020109A,圣亚海洋世界,辽宁,大连
10107020110A,世界和平公园,辽宁,大连
10107020111A,大连老虎滩海洋公园,辽宁,大连
10107020112A,金石滩国家旅游度假区,辽宁,大连
10107020201A,大连仙浴湾旅游渡假区,辽宁,大连
10107020701A,大连冰峪旅游度假区,辽宁,大连
10107020702A,蛤蜊岛旅游度假区,辽宁,大连
10107030101A,汤岗子温泉旅游度假区,辽宁,鞍山
10107030102A,鞍山玉佛苑,辽宁,鞍山
10107030103A,千山风景名胜区,辽宁,鞍山
10107030104A,玉佛山风景区,辽宁,鞍山
10107030105A,玉佛苑,辽宁,鞍山
10107040101A,抚顺战犯管理所旧址,辽宁,抚顺
10107040102A,萨尔浒风景名胜区,辽宁,抚顺
10107040103A,元帅林,辽宁,抚顺
10107040201A,和睦国家森林公园,辽宁,抚顺
10107040202A,赫图阿拉城,辽宁,抚顺
10107040203A,猴石国家森林公园,辽宁,抚顺
10107040301A,红河峡谷漂流,辽宁,抚顺
10107050101A,本溪水洞,辽宁,本溪
10107050102A,关门山国家森林公园,辽宁,本溪
10107050401A,望天洞,辽宁,本溪
10107050402A,大雅河漂流,辽宁,本溪
10107050403A,五女山山城风景区,辽宁,本溪
10107060101A,抗美援朝纪念馆,辽宁,丹东
10107060102A,五龙山风景区,辽宁,丹东
10107060103A,鸭绿江,辽宁,丹东
10107060104A,元宝区抗美援朝烈士陵园,辽宁,丹东
10107060201A,凤凰山国家风景名胜区,辽宁,丹东
10107060301A,黄椅山公园,辽宁,丹东
10107060302A,天华山,辽宁,丹东
10107060303A,天桥沟森林公园,辽宁,丹东
10107060304A,玄武湖景区,辽宁,丹东
10107060401A,大孤山国家森林公园,辽宁,丹东
10107060402A,大鹿岛,辽宁,丹东
10107070101A,凌河公园,辽宁,锦州
10107070102A,锦州北普陀山旅游区,辽宁,锦州
10107070103A,锦州市博物馆,辽宁,锦州
10107070104A,辽沈战役纪念馆,辽宁,锦州
10107070201A,锦州笔架山风景区,辽宁,锦州
10107070401A,奉国寺,辽宁,锦州
10107070601A,医巫闾山国家重点风景名胜区,辽宁,锦州
10107080101A,望儿山,辽宁,营口
10107090101A,海棠山普安寺,辽宁,阜新
10107100101A,广佑寺,辽宁,辽阳
10107110101A,铁岭博物馆,辽宁,铁岭
10107110102A,周恩来少年读书旧址纪念馆,辽宁,铁岭
10107110501A,蒸汽机车博览园,辽宁,铁岭
10107120101A,朝阳凤凰山国家森林公园,辽宁,朝阳
10107130101A,湖滨公园,辽宁,盘锦
10107130102A,中兴公园,辽宁,盘锦
10107130103A,辽河湿地鼎翔生态农业观光园,辽宁,盘锦
10107130201A,红海滩旅游风景区,辽宁,盘锦
10107140101A,葫芦谷,辽宁,葫芦岛
10107140301A,九门口,辽宁,葫芦岛
10107140401A,龙湾海滨滑雪场,辽宁,葫芦岛
10107140402A,兴城菊花岛旅游区,辽宁,葫芦岛
10107140403A,龙湾海滨风景区,辽宁,葫芦岛
10107140404A,兴城古城,辽宁,葫芦岛
10107140405A,兴城海滨国家重点风景名胜区,辽宁,葫芦岛
10108010101A,呼和浩特乌素图国家森林公园,内蒙古,呼和浩特
10108010102A,乌兰夫同志纪念馆,内蒙古,呼和浩特
10108010103A,昭君博物院,内蒙古,呼和浩特
10108010201A,哈素海,内蒙古,呼和浩特
10108010401A,蒙牛工业旅游景区,内蒙古,呼和浩特
10108020101A,梅力更自然生态风景区,内蒙古,包头
10108020102A,石门风景区,内蒙古,包头
10108020103A,新世纪青年生态园,内蒙古,包头
10108020104A,北方兵器城,内蒙古,包头
10108020105A,南海湿地景区,内蒙古,包头
10108020106A,五当召,内蒙古,包头
10108020401A,美岱召,内蒙古,包头
10108040701A,岱海旅游中心,内蒙古,乌兰察布
10108041101A,格根塔拉草原旅游中心,内蒙古,乌兰察布
10108050401A,通辽大青沟国家级自然保护区,内蒙古,通辽
10108060801A,中国·克什克腾世界地质公园,内蒙古,赤峰
10108061101A,喀喇沁亲王府,内蒙古,赤峰
10108070101A,大秦直道文化旅游景区,内蒙古,鄂尔多斯
10108070102A,九城宫,内蒙古,鄂尔多斯
10108070301A,鄂尔多斯恩格贝旅游区,内蒙古,鄂尔多斯
10108070302A,释尼召旅游景区,内蒙古,鄂尔多斯
10108070303A,响沙湾,内蒙古,鄂尔多斯
10108070401A,神泉生态旅游景区,内蒙古,鄂尔多斯
10108070801A,鄂尔多斯文化旅游村,内蒙古,鄂尔多斯
10108070901A,库布其世界沙漠公园,内蒙古,鄂尔多斯
10108071101A,鄂尔多斯世珍园,内蒙古,鄂尔多斯
10108071102A,成吉思汗陵旅游区,内蒙古,鄂尔多斯
10108080401A,维信国际高尔夫度假村,内蒙古,巴彦淖尔
10108090101A,贝子庙,内蒙古,锡林郭勒
10108090301A,二连盆地白垩纪恐龙国家地质公园,内蒙古,锡林郭勒
10108100101A,海拉尔国家森林公园,内蒙古,呼伦贝尔
10108100102A,海拉尔农业发展园区,内蒙古,呼伦贝尔
10108100103A,世界反法西斯战争海拉尔纪念园,内蒙古,呼伦贝尔
10108100401A,中国达斡尔民族园,内蒙古,呼伦贝尔
10108100701A,呼和诺尔旅游景区,内蒙古,呼伦贝尔
10108101001A,国门景区,内蒙古,呼伦贝尔
10108101002A,满洲里中俄互市贸易旅游区,内蒙古,呼伦贝尔
10108101201A,吊桥公园,内蒙古,呼伦贝尔
10108101401A,莫尔道嘎国家森林公园,内蒙古,呼伦贝尔
10108110101A,成吉思汗庙,内蒙古,兴安盟
10108110201A,阿尔山海神圣泉旅游度假区,内蒙古,兴安盟
10108110901A,万豪蒙古大营,内蒙古,兴安盟
10108120101A,阿拉善盟腾格里达来月亮湖沙漠生态探险旅游区,内蒙古,阿拉善盟
10108120102A,贺兰山南寺旅游区,内蒙古,阿拉善盟
10109010101A,水上公园,河北,石家庄
10109010102A,天山海世界,河北,石家庄
10109010201A,苍岩山风景区,河北,石家庄
10109010301A,荣国府,河北,石家庄
10109010302A,正定隆兴寺,河北,石家庄
10109010601A,五岳寨风景区,河北,石家庄
10109010901A,棋盘山自然风景区,河北,石家庄
10109010902A,嶂石岩风景名胜区,河北,石家庄
10109011101A,白鹿温泉,河北,石家庄
10109011102A,东方巨龟苑,河北,石家庄
10109011103A,黑山大峡谷景区,河北,石家庄
10109011104A,淴淴水生态风景区,河北,石家庄
10109011105A,藤龙山,河北,石家庄
10109011106A,天桂山,河北,石家庄
10109011107A,驼梁景区,河北,石家庄
10109011108A,西柏坡纪念馆,河北,石家庄
10109011109A,西柏坡旅游区,河北,石家庄
10109011301A,中国赵州桥,河北,石家庄
10109011801A,抱犊寨风景区,河北,石家庄
10109020101A,古莲花池,河北,保定
10109020102A,保定直隶总督署博物馆,河北,保定
10109020201A,满城汉墓,河北,保定
10109020301A,晋察冀边区革命纪念馆,河北,保定
10109020302A,天生桥国家地质公园,河北,保定
10109020303A,天生桥瀑布群自然风景区,河北,保定
10109020501A,大石峪景区,河北,保定
10109020502A,唐县白求恩柯棣华纪念馆,河北,保定
10109020503A,西胜沟风景区,河北,保定
10109020901A,涞源县空中草原,河北,保定
10109020902A,仙人峪风景区,河北,保定
10109020903A,涞源白石山国家地质公园,河北,保定
10109021101A,华北明珠白洋淀,河北,保定
10109021201A,狼牙山景区,河北,保定
10109021202A,清西陵,河北,保定
10109021401A,北岳庙,河北,保定
10109021402A,灵山聚龙洞,河北,保定
10109021601A,腰山王氏庄园,河北,保定
10109022201A,野三坡白草畔景区,河北,保定
10109022202A,野三坡百里峡景区,河北,保定
10109022203A,野三坡,河北,保定
10109022401A,冉庄地道战遗址,河北,保定
10109030101A,张家口鸡鸣山风景区,河北,张家口
10109030103A,安家沟生态区,河北,张家口
10109030104A,大境门景区,河北,张家口
10109030301A,安固里草原度假村,河北,张家口
10109030302A,中都原始草原度假村,河北,张家口
10109030501A,沽水福源,河北,张家口
